,att_name,att_cat,att_price
0,niagara_falls_american-side_tour_with_maid_of_the_mist_boat_ride,"cruises,_sailing_&_water_tours",136.26
1,niagara_falls_day_tour_from_toronto,recommended_experiences,94.92
2,niagara_falls_canada_tour_from_niagara_usa,recommended_experiences,156.7
3,niagara_falls_one_day_sightseeing_tour_from_toronto,"food,_wine_&_nightlife",99.0
4,niagara_falls_american-side_tour_with_maid_of_the_mist_boat_ride,family_friendly,136.25
5,niagara_falls_canada_tour_from_niagara_usa,tours_&_sightseeing,156.71
6,whale-watching_tour_from_vancouver,family_friendly,138.5
7,crystal_hut_fondue_by_snowmobile,outdoor_activities,282.45
8,2-hour_ottawa_express_city_bike_tour,tours_&_sightseeing,63.0
9,niagara_falls_one_day_sightseeing_tour_from_toronto,tours_&_sightseeing,99.0
10,niagara_falls_canada_tour_from_niagara_usa,cultural_&_theme_tours,156.71
11,squamish_elaho_white-water_rafting,water_sports,173.24
12,half-day_whale_watching_adventure_from_vancouver,recommended_experiences,181.13
13,summer_whale_watching_on_vancouver_island,"cruises,_sailing_&_water_tours",145.95
14,niagara_falls_american-side_tour_with_maid_of_the_mist_boat_ride,tours_&_sightseeing,136.26
15,whale-watching_tour_from_vancouver,"cruises,_sailing_&_water_tours",138.5
16,2-hour_ottawa_express_city_bike_tour,walking_&_biking_tours,63.0
17,crystal_hut_fondue_by_snowmobile,"food,_wine_&_nightlife",282.45
18,squamish_elaho_white-water_rafting,recommended_experiences,173.24
19,niagara_falls_american-side_tour_with_maid_of_the_mist_boat_ride,recommended_experiences,136.25
20,2-hour_ottawa_express_city_bike_tour,recommended_experiences,63.0
21,whale-watching_tour_from_vancouver,water_sports,138.5
22,niagara_falls_one_day_sightseeing_tour_from_toronto,family_friendly,99.0
23,half-day_whale_watching_adventure_from_vancouver,"cruises,_sailing_&_water_tours",181.13
24,niagara_falls_one_day_sightseeing_tour_from_toronto,luxury_&_special_occasions,99.0
25,niagara_falls_day_tour_from_toronto,family_friendly,94.92
26,summer_whale_watching_on_vancouver_island,water_sports,145.95
27,niagara_falls_day_tour_from_toronto,tours_&_sightseeing,94.92
28,niagara_falls_day_tour_from_toronto,"food,_wine_&_nightlife",94.92
